airport_identifier,airport_size,airport_name,elevation_ft,continent,country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
ZHSS,small_airport,Shashi Airport,112.0,AS,CN,CN-42,Shashi,ZHSS,SHS,,"112.279861, 30.324289"
ZHSY,medium_airport,Shiyan Wudangshan Airport,,AS,CN,CN-42,Shiyan,ZHSY,WDS,,"110.907778, 32.591667"
ZHXF,small_airport,Xiangyang Liuji Airport,,AS,CN,CN-42,Xiangfan,ZHXF,XFN,,"112.291, 32.1506"
ZHYC,medium_airport,Yichang Sanxia Airport,673.0,AS,CN,CN-42,Yichang,ZHYC,YIH,,"111.479988, 30.55655"
ZJHK,large_airport,Haikou Meilan International Airport,75.0,AS,CN,CN-46,Haikou,ZJHK,HAK,,"110.45899963378906, 19.934900283813477"
ZJQH,medium_airport,Qionghai Bo'ao Airport,30.0,AS,CN,CN-46,Qionghai,ZJQH,BAR,,"110.454775, 19.13824"
ZJSY,large_airport,Sanya Phoenix International Airport,92.0,AS,CN,CN-46,Sanya,ZJSY,SYX,,"109.41200256347656, 18.302900314331055"
ZKPY,medium_airport,Pyongyang Sunan International Airport,117.0,AS,KP,KP-01,Pyongyang,ZKPY,FNJ,,"125.669998, 39.224098"
ZKSD,medium_airport,Sondok Airport,12.0,AS,KP,KP-08,SÅndÅng-ni,ZKSD,DSO,,"127.473999, 39.745201"
ZKWS,medium_airport,Wonsan Kalma International Airport,7.0,AS,KP,KP-07,Wonsan,ZKWS,WOS,,"127.486, 39.166801"
ZLAK,small_airport,Ankang Wulipu Airport,860.0,AS,CN,CN-61,Ankang,ZLAK,AKA,,"108.931, 32.708099"
ZLDH,medium_airport,Dunhuang Airport,,AS,CN,CN-62,Dunhuang,ZLDH,DNH,,"94.80919647216797, 40.16109848022461"
ZLDL,small_airport,Delingha Airport,9843.0,AS,CN,CN-63,Delingha,ZLDL,HXD,,"97.268658, 37.125286"
ZLGM,medium_airport,Golmud Airport,9334.0,AS,CN,CN-63,Golmud,ZLGM,GOQ,,"94.786102, 36.4006"
ZLGY,medium_airport,Guyuan Liupanshan Airport,5696.0,AS,CN,CN-64,Guyuan,ZLGY,GYU,,"106.216944444, 36.0788888889"
ZLHX,medium_airport,Huatugou Airport,2945.0,AS,CN,CN-63,Mengnai,ZLHX,HTT,,"90.841495, 38.201984"
ZLHZ,small_airport,Hanzhong Chenggu Airport,,AS,CN,CN-61,Hanzhong,ZLHZ,HZG,,"107.206014, 33.134136"
ZLIC,medium_airport,Yinchuan Airport,,AS,CN,CN-64,Yinchuan,ZLIC,INC,,"106.009003, 38.481899"
ZLJN,medium_airport,Jining Qufu Airport,134.0,AS,CN,CN-37,Jining,ZSJG,JNG,,"116.346667, 35.292778"
ZLJQ,medium_airport,Jiayuguan Airport,5112.0,AS,CN,CN-62,Jiayuguan,ZLJQ,JGN,,"98.3414, 39.856899"
ZLLL,medium_airport,Lanzhou Zhongchuan Airport,6388.0,AS,CN,CN-62,Lanzhou,ZLLL,LHW,,"103.620002747, 36.5152015686"
ZLLN,medium_airport,Longnan Chengzhou Airport,3707.0,AS,CN,CN-62,Longnan,ZLLN,LNL,,"105.797, 33.788"
ZLQY,medium_airport,Qingyang Airport,,AS,CN,CN-62,Qingyang,ZLQY,IQN,,"107.602997, 35.799702"
ZLSN,medium_airport,Xi'an Xiguan Airport,,AS,CN,CN-61,Xi'an,ZLSN,SIA,,"109.120003, 34.376701"
ZLXH,medium_airport,Gannan Xiahe Airport,10510.0,AS,CN,CN-62,Xiahe,ZLXH,GXH,,"102.6447, 34.8105"
ZLXN,medium_airport,Xining Caojiabu Airport,7119.0,AS,CN,CN-63,Xining,ZLXN,XNN,,"102.042999, 36.5275"
ZLXY,large_airport,Xi'an Xianyang International Airport,1572.0,AS,CN,CN-61,Xi'an,ZLXY,XIY,,"108.751999, 34.447102"
ZLYA,small_airport,Yan'an Ershilipu Airport,3100.0,AS,CN,CN-61,Yan'an,ZLYA,ENY,,"109.554001, 36.636902"
ZLYL,small_airport,Yulin Yuyang Airport,,AS,CN,CN-61,Yulin,ZLYL,UYN,,"109.590927, 38.35971"
ZLZW,medium_airport,Zhongwei Shapotou Airport,8202.0,AS,CN,CN-64,Zhongwei,ZLZW,ZHY,,"105.154454, 37.573125"
ZMAH,medium_airport,Arvaikheer Airport,5932.0,AS,MN,MN-055,Arvaikheer,ZMAH,AVK,,"102.802001953125, 46.250301361083984"
ZMAT,medium_airport,Altai Airport,7260.0,AS,MN,MN-065,Altai,ZMAT,LTI,,"96.22109985351562, 46.376399993896484"
ZMBH,medium_airport,Bayankhongor Airport,6085.0,AS,MN,MN-069,Bayankhongor,ZMBH,BYN,,"100.7040023803711, 46.163299560546875"
ZMBN,medium_airport,Bulgan Airport,4311.0,AS,MN,MN-067,Bulgan,ZMBN,UGA,,"103.47599792480469, 48.85499954223633"
ZMBR,small_airport,Bulagtai Resort Airport,4659.0,AS,MN,MN-053,Umnugobitour,ZMBR,UGT,,"104.114985466, 43.749304182"
ZMBS,small_airport,Bulgan Sum Airport,3921.0,AS,MN,MN-043,Bulgan,ZMBS,HBU,,"91.584198, 46.100601"
ZMBU,medium_airport,Baruun Urt Airport,3205.0,AS,MN,MN-051,,ZMBU,UUN,,"113.28500366210938, 46.660301208496094"
ZMCD,medium_airport,Choibalsan Airport,2457.0,AS,MN,MN-061,,ZMCD,COQ,,"114.64600372314453, 48.13570022583008"
ZMD,small_airport,Sena Madureira Airport,540.0,SA,BR,BR-AC,Sena Madureira,,ZMD,,"-68.6108, -9.116"
ZMDN,small_airport,Donoi Airport,5800.0,AS,MN,MN-057,Uliastai,ZMDN,ULZ,,"96.5258, 47.7093"
ZMDZ,medium_airport,Dalanzadgad Airport,4787.0,AS,MN,MN-053,Dalanzadgad,ZMDZ,DLZ,,"104.43000030517578, 43.59170150756836"
ZMHH,small_airport,Kharkhorin Airport,4759.0,AS,MN,MN-055,,ZMHH,KHR,,"102.826111, 47.246667"
ZMHU,small_airport,Khujirt Airport,5522.0,AS,MN,MN-055,Khujirt,ZMHU,HJT,,"102.773002625, 46.9258003235"
ZMKD,medium_airport,Khovd Airport,4898.0,AS,MN,MN-043,Khovd,ZMKD,HVD,,"91.6281967163086, 47.9541015625"
ZMMN,medium_airport,MÃ¶rÃ¶n Airport,4272.0,AS,MN,MN-041,MÃ¶rÃ¶n,ZMMN,MXV,,"100.0989990234375, 49.663299560546875"
ZMTG,small_airport,Tselserleg Airport,5530.0,AS,MN,MN-073,Tselserleg,ZMTG,TSZ,,"101.47755, 47.46544"
ZMTL,small_airport,Tosontsengel Airport,5610.0,AS,MN,MN-057,Tosontsengel,ZMTL,TNZ,,"98.2941, 48.73887"
ZMUB,large_airport,Chinggis Khaan International Airport,4364.0,AS,MN,MN-1,Ulan Bator,ZMUB,ULN,,"106.766998, 47.843102"
ZMUG,small_airport,Ulaangom Airport,,AS,MN,MN-046,Ulaangom,ZMUG,ULO,,"91.938273, 50.066588"
ZMUL,small_airport,Ulgii Mongolei Airport,5732.0,AS,MN,MN-071,,ZMUL,ULG,,"89.9225006104, 48.9933013916"
ZNC,small_airport,Nyac Airport,460.0,NA,US,US-AK,Nyac,ZNC,ZNC,ZNC,"-159.994003296, 60.9807014465"
ZPCW,medium_airport,Cangyuan Washan Airport,,AS,CN,CN-53,Cangyuan Va Autonomous County,ZPCW,CWJ,,"99.373611, 23.273889"
ZPDL,medium_airport,Dali Airport,7050.0,AS,CN,CN-53,Xiaguan,ZPDL,DLU,,"100.319, 25.649401"
ZPDQ,medium_airport,Diqing Airport,10761.0,AS,CN,CN-53,Shangri-La,ZPDQ,DIG,,"99.6772, 27.7936"
ZPJH,medium_airport,Xishuangbanna Gasa Airport,1815.0,AS,CN,CN-53,Jinghong,ZPJH,JHG,,"100.76000213623047, 21.973899841308594"
ZPJM,medium_airport,Lancang Jingmai Airport,,AS,CN,CN-53,Lancang Lahu Autonomous County,ZPJM,JMJ,,"99.786389, 22.415833"
ZPLJ,medium_airport,Lijiang Airport,,AS,CN,CN-53,Lijiang,ZPLJ,LJG,,"100.246002197, 26.6800003052"
ZPLX,medium_airport,Mangshi Airport,2890.0,AS,CN,CN-53,Luxi,ZPMS,LUM,,"98.5317, 24.4011"
ZPPP,large_airport,Kunming Changshui International Airport,6903.0,AS,CN,CN-53,Kunming,ZPPP,KMG,,"102.9291667, 25.1019444"
ZPSM,small_airport,Pu'er Simao Airport,,AS,CN,CN-53,Pu'er,ZPSM,SYM,,"100.959, 22.793301"
ZPWS,small_airport,Wenshan Puzhehei Airport,5217.0,AS,CN,CN-53,Wenshan,ZPWS,WNH,,"104.3255, 23.5583"
ZPZT,small_airport,Zhaotong Airport,,AS,CN,CN-53,Zhaotong,ZPZT,ZAT,,"103.75499725341797, 27.325599670410156"
ZRH,large_airport,Airport,,EU,CH,CH-ZH,Zurich,,ZRH,,"0, 0"
ZSAM,large_airport,Xiamen Gaoqi International Airport,59.0,AS,CN,CN-35,Xiamen,ZSAM,XMN,,"118.12799835205078, 24.54400062561035"
ZSAQ,medium_airport,Anqing Tianzhushan Airport,,AS,CN,CN-34,Anqing,ZSAQ,AQG,,"117.050003, 30.582199"
ZSBB,medium_airport,Bengbu Airport,100.0,AS,CN,CN-34,Bengbu,ZSBB,BFU,,"117.320244444, 32.8477333333"
ZSCG,small_airport,Changzhou Benniu Airport,,AS,CN,CN-32,Changzhou,ZSCG,CZX,,"119.778999, 31.919701"
ZSCN,medium_airport,Nanchang Changbei International Airport,143.0,AS,CN,CN-36,Nanchang,ZSCN,KHN,,"115.9000015258789, 28.864999771118164"
ZSFY,medium_airport,Fuyang Xiguan Airport,104.0,AS,CN,CN-U-A,Fuyang,ZSFY,FUG,,"115.734364, 32.882157"
ZSFZ,large_airport,Fuzhou Changle International Airport,46.0,AS,CN,CN-35,Fuzhou,ZSFZ,FOC,,"119.66300201416016, 25.935100555419922"
ZSGZ,small_airport,Ganzhou Airport,387.0,AS,CN,CN-36,Ganzhou,ZSGZ,KOW,,"114.778889, 25.853333"
ZSHC,large_airport,Hangzhou Xiaoshan International Airport,23.0,AS,CN,CN-33,Hangzhou,ZSHC,HGH,,"120.43399810791016, 30.22949981689453"
ZSJD,medium_airport,Jingdezhen Airport,112.0,AS,CN,CN-36,Jingdezhen,ZSJD,JDZ,,"117.176002502, 29.3386001587"
ZSJJ,small_airport,Jiujiang Lushan Airport,,AS,CN,CN-36,Jiujiang,ZSJJ,JIU,,"115.801111, 29.476944"
ZSJN,large_airport,Yaoqiang Airport,76.0,AS,CN,CN-37,Jinan,ZSJN,TNA,,"117.21600341796875, 36.857200622558594"
ZSJU,medium_airport,Quzhou Airport,,AS,CN,CN-33,Quzhou,ZSJU,JUZ,,"118.899002, 28.965799"
ZSLD,medium_airport,Longyan Guanzhishan Airport,1225.0,AS,CN,CN-35,Longyan,ZSLD,LCX,,"116.747001648, 25.6746997833"
ZSLG,small_airport,Lianyungang Airport,,AS,CN,CN-32,Lianyungang,ZSLG,LYG,,"118.873611, 34.571667"
ZSLQ,medium_airport,Huangyan Luqiao Airport,,AS,CN,CN-33,Huangyan,ZSLQ,HYN,,"121.42900085449219, 28.56220054626465"
ZSLY,small_airport,Shubuling Airport,,AS,CN,CN-37,Linyi,ZSLY,LYI,,"118.41200256347656, 35.04610061645508"
ZSNB,large_airport,Ningbo Lishe International Airport,13.0,AS,CN,CN-33,Ningbo,ZSNB,NGB,,"121.46199798583984, 29.82670021057129"
ZSNJ,large_airport,Nanjing Lukou Airport,49.0,AS,CN,CN-32,Nanjing,ZSNJ,NKG,,"118.86199951171875, 31.742000579833984"
ZSOF,medium_airport,Hefei Luogang International Airport,108.0,AS,CN,CN-34,Hefei,ZSOF,HFE,,"117.2979965209961, 31.780000686645508"
ZSPD,large_airport,Shanghai Pudong International Airport,13.0,AS,CN,CN-31,Shanghai,ZSPD,PVG,,"121.80500030517578, 31.143400192260742"
ZSQD,medium_airport,Liuting Airport,33.0,AS,CN,CN-37,Qingdao,ZSQD,TAO,,"120.374000549, 36.2661018372"
ZSQZ,medium_airport,Quanzhou Jinjiang International Airport,,AS,CN,CN-35,Quanzhou,ZSQZ,JJN,,"118.589996, 24.7964"
ZSRG,medium_airport,Rugao Air Base,,AS,CN,CN-32,Rugao,ZSRG,RUG,,"120.50165557861328, 32.25788497924805"
ZSRZ,medium_airport,Rizhao Shanzihe Airport,121.0,AS,CN,CN-37,Rizhao,ZSRZ,RIZ,,"119.324403, 35.405033"
ZSSS,large_airport,Shanghai Hongqiao International Airport,10.0,AS,CN,CN-31,Shanghai,ZSSS,SHA,,"121.33599853515625, 31.197900772094727"
ZSSZ,medium_airport,Suzhou Guangfu Airport,,AS,CN,CN-32,Suzhou,ZSSZ,SZV,,"120.401001, 31.2631"
ZSTX,medium_airport,Tunxi International Airport,,AS,CN,CN-34,Huangshan,ZSTX,TXN,,"118.25599670410156, 29.733299255371094"
ZSWF,medium_airport,Weifang Airport,,AS,CN,CN-37,Weifang,ZSWF,WEF,,"119.119003, 36.646702"
ZSWH,medium_airport,Weihai Airport,145.0,AS,CN,CN-37,Weihai,ZSWH,WEH,,"122.22899627685547, 37.18709945678711"
ZSWU,medium_airport,Wuhu Air Base,,AS,CN,CN-34,Wuhu,ZSWU,WHU,,"118.408997, 31.3906"
ZSWX,medium_airport,Sunan Shuofang International Airport,24.0,AS,CN,CN-32,Wuxi,ZSWX,WUX,,"120.429000854, 31.494400024399997"
ZSWY,medium_airport,Nanping Wuyishan Airport,614.0,AS,CN,CN-35,Wuyishan,ZSWY,WUS,,"118.000999, 27.7019"
ZSWZ,large_airport,Wenzhou Longwan International Airport,,AS,CN,CN-33,Wenzhou,ZSWZ,WNZ,,"120.851997, 27.912201"
ZSXZ,medium_airport,Xuzhou Guanyin Airport,,AS,CN,CN-32,Xuzhou,ZSXZ,XUZ,,"117.555278, 34.059056"
ZSYA,medium_airport,Yangzhou Taizhou Airport,7.0,AS,CN,CN-32,Yangzhou and Taizhou,ZSYA,YTY,,"119.7198, 32.5634"
ZSYC,medium_airport,Yichun Mingyueshan Airport,430.0,AS,CN,CN-36,Yichun,ZSYC,YIC,,"114.3062, 27.8025"
ZSYN,small_airport,Yancheng Airport,,AS,CN,CN-32,Yancheng,ZSYN,YNZ,,"120.203056, 33.425833"
ZSYT,medium_airport,Yantai Laishan Airport,59.0,AS,CN,CN-37,Yantai,ZSYT,YNT,,"121.37200164794922, 37.40169906616211"
ZSYW,medium_airport,Yiwu Airport,262.0,AS,CN,CN-33,Yiwu,ZSYW,YIW,,"120.031997681, 29.3446998596"
ZSZS,small_airport,Zhoushan Airport,3.0,AS,CN,CN-33,Zhoushan,ZSZS,HSN,,"122.361999512, 29.9342002869"
ZUAL,medium_airport,Ngari Gunsa Airport,14022.0,AS,CN,CN-54,Shiquanhe,ZUAL,NGQ,,"80.0530555556, 32.1"
ZUAS,medium_airport,Anshun Huangguoshu Airport,4812.0,AS,CN,CN-U-A,Anshun,ZUAS,AVA,,"105.873333333, 26.2605555556"
ZUBD,medium_airport,Qamdo Bangda Airport,14219.0,AS,CN,CN-54,Bangda,ZUBD,BPX,,"97.1082992553711, 30.553600311279297"
ZUBJ,medium_airport,Bijie Feixiong Airport,4751.0,AS,CN,CN-52,Bijie,ZUBJ,BFJ,,"105.472097, 27.267066"
ZUCK,large_airport,Chongqing Jiangbei International Airport,1365.0,AS,CN,CN-50,Chongqing,ZUCK,CKG,,"106.64199829101562, 29.719200134277344"
ZUDC,medium_airport,Daocheng Yading Airport,14472.0,AS,CN,CN-51,Daocheng County,ZUDC,DCY,,"100.053333, 29.323056"
ZUDX,small_airport,Dachuan Airport,,AS,CN,CN-51,Dazhou,ZUDX,DAX,,"107.4295, 31.1302"
ZUGH,small_airport,Guanghan Airport,1531.0,AS,CN,CN-51,Civil Aviation Flight University of China,ZUGH,GHN,,"104.3296, 30.9485"
ZUGU,medium_airport,Guangyuan Airport,,AS,CN,CN-51,Guangyuan,ZUGU,GYS,,"105.7020034790039, 32.3911018371582"
ZUGY,large_airport,Longdongbao Airport,3736.0,AS,CN,CN-52,Guiyang,ZUGY,KWE,,"106.8010025024414, 26.53849983215332"
ZUJZ,medium_airport,Jiuzhai Huanglong Airport,11327.0,AS,CN,CN-51,Jiuzhaigou,ZUJZ,JZH,,"103.682222222, 32.8533333333"
ZUKD,medium_airport,Kangding Airport,14042.0,AS,CN,CN-51,Kangding,ZUKD,KGT,,"101.734722, 30.1575"
ZUKJ,medium_airport,Kaili Airport,3115.0,AS,CN,CN-52,Huangping,ZUKJ,KJH,,"107.988, 26.972"
ZULB,small_airport,Libo Airport,,AS,CN,CN-52,Libo County,ZULB,LLB,,"107.961667, 25.4525"
ZULP,small_airport,Liangping Airport,,AS,CN,CN-50,Liangping,ZULP,LIA,,"107.786003, 30.679399"
ZULS,medium_airport,Lhasa Gonggar Airport,11713.0,AS,CN,CN-54,Lhasa,ZULS,LXA,,"90.91190338130001, 29.2978000641"
ZULZ,small_airport,Luzhou Airport,,AS,CN,CN-51,Luzhou,ZULZ,LZO,,"105.39299774169922, 28.85219955444336"
ZUMH,small_airport,ÃndÃ¶rkhaan Airport,3410.0,AS,MN,MN-039,ÃndÃ¶rkhaan,ZMUH,UNR,,"110.6092, 47.30486"
ZUMT,medium_airport,Zunyi Maotai Airport,4068.0,AS,CN,CN-52,Zunyi,ZUMT,WMT,,"106.33268, 27.81638"
ZUMY,medium_airport,Mianyang Airport,,AS,CN,CN-51,Mianyang,ZUMY,MIG,,"104.74099731445312, 31.4281005859375"
ZUNC,small_airport,Nanchong Airport,,AS,CN,CN-51,Nanchong,ZUNC,NAO,,"106.1626, 30.79545"
ZUNP,medium_airport,Liping Airport,1620.0,AS,CN,CN-52,Liping,ZUNP,HZH,,"109.1499, 26.32217"
ZUNZ,medium_airport,Nyingchi Airport,9675.0,AS,CN,CN-54,Nyingchi,ZUNZ,LZY,,"94.33529663085938, 29.303300857543945"
ZUPS,medium_airport,Liupanshui Yuezhao Airport,,AS,CN,CN-52,Liupanshui,ZUPS,LPF,,"104.979, 26.609417"
ZUTC,medium_airport,Tengchong Tuofeng Airport,6250.0,AS,CN,CN-53,Tengchong,ZUTC,TCZ,,"98.48583333330001, 24.9380555556"
ZUTR,small_airport,Tongren Fenghuang Airport,,AS,CN,CN-52,,ZUTR,TEN,,"109.308889, 27.883333"
ZUUU,large_airport,Chengdu Shuangliu International Airport,1625.0,AS,CN,CN-51,Chengdu,ZUUU,CTU,,"103.9469985961914, 30.578500747680664"
ZUWX,small_airport,Wanxian Airport,,AS,CN,CN-50,Wanxian,ZUWX,WXN,,"108.433, 30.8017"
ZUXC,medium_airport,Xichang Qingshan Airport,5112.0,AS,CN,CN-51,Xichang,ZUXC,XIC,,"102.18399810791016, 27.989099502563477"
ZUYB,small_airport,Yibin Caiba Airport,924.0,AS,CN,CN-51,Yibin,ZUYB,YBP,,"104.545, 28.8005555556"
ZUYI,medium_airport,Xingyi Airport,4150.0,AS,CN,CN-52,Xingyi,ZUYI,ACX,,"104.959444444, 25.0863888889"
ZUZY,medium_airport,Zunyi Xinzhou Airport,2920.0,AS,CN,CN-52,Zunyi,ZUZY,ZYI,,"107.0007, 27.5895"
ZWAK,medium_airport,Aksu Airport,3816.0,AS,CN,CN-65,Aksu,ZWAK,AKU,,"80.291702, 41.262501"
